['51.146.52.243', 'N/A']
['205.185.119.236', 'N/A']
['45.227.254.10', 'N/A']
['152.231.68.18', 'N/A']
['199.19.76.101', 'N/A']
['45.146.165.72', 'N/A']
['14.49.36.247', 'N/A']
['222.239.124.19', 'N/A']
['192.42.116.19', 'N/A']
['164.155.104.9', 'N/A']
['81.70.244.49', 'N/A']
['140.249.204.242', 'N/A']
['157.245.108.35', 'N/A']
['104.236.182.223', 'N/A']
['134.17.5.55', 'N/A']
['104.128.93.238', 'N/A']
['190.144.14.170', 'N/A']
['45.135.232.165', 'N/A']
['23.129.64.205', 'N/A']
['141.98.81.154', 'N/A']
['89.163.245.250', 'N/A']
['221.131.165.23', 'N/A']
['185.220.102.246', 'N/A']
['23.129.64.200', 'N/A']
['221.181.185.140', 'N/A']
['221.181.185.143', 'N/A']
['196.27.127.61', 'N/A']
['206.189.25.102', 'N/A']
['104.131.167.6', 'N/A']
['221.181.185.223', 'N/A']
['111.229.196.252', 'N/A']
['121.4.85.158', 'N/A']
['139.217.119.86', 'N/A']
['106.53.240.134', 'N/A']
['103.157.186.163', 'N/A']
['49.232.12.37', 'N/A']
['104.236.21.175', 'N/A']
['35.203.64.118', 'N/A']
['59.47.229.130', 'N/A']
['185.191.124.152', 'N/A']
['42.192.221.34', 'N/A']
['107.174.136.251', 'N/A']
['119.28.53.116', 'N/A']
['194.165.16.27', 'N/A']
['81.161.63.253', 'N/A']
['64.225.119.100', 'N/A']
['103.207.39.195', 'N/A']
['174.138.12.237', 'N/A']
['83.20.56.193', 'N/A']
['128.199.129.68', 'N/A']
['118.25.44.66', 'N/A']
['106.54.121.24', 'N/A']
['144.34.162.249', 'N/A']
['212.42.199.112', 'N/A']
['133.125.59.82', 'N/A']
['171.25.193.78', 'N/A']
['128.199.184.157', 'N/A']
['115.71.239.64', 'N/A']
['81.71.75.124', 'N/A']
['124.160.96.249', 'N/A']
['43.239.122.66', 'N/A']
['81.69.14.84', 'N/A']
['200.73.130.226', 'N/A']
['192.241.213.251', 'N/A']
['120.92.134.19', 'N/A']
['180.76.231.121', 'N/A']
['58.215.177.24', 'N/A']
['123.6.5.104', 'N/A']
['168.63.215.201', 'N/A']
['221.131.165.56', 'N/A']
['65.49.20.68', 'N/A']
['209.127.17.242', 'N/A']
['113.118.45.201', 'N/A']
['222.187.239.107', 'N/A']
['221.181.185.151', 'N/A']
['113.118.44.113', 'N/A']
['194.165.16.89', 'N/A']
['210.114.17.198', 'N/A']
['77.247.181.163', 'N/A']
['222.187.239.109', 'N/A']
['124.156.107.201', 'N/A']
['106.75.29.239', 'N/A']
['46.34.153.66', 'N/A']
['119.29.170.170', 'N/A']
['165.232.164.247', 'N/A']
['81.161.63.103', 'N/A']
['61.148.90.118', 'N/A']
['77.158.71.118', 'N/A']
['49.234.223.241', 'N/A']
['106.52.38.68', 'N/A']
['221.216.95.120', 'N/A']
['81.69.163.230', 'N/A']
['35.202.47.222', 'N/A']
['61.177.144.130', 'N/A']
['157.230.22.160', 'N/A']
['185.142.239.16', 'N/A']
['192.241.202.129', 'N/A']
['221.181.185.159', 'N/A']
['101.200.195.140', 'N/A']
['23.129.64.242', 'N/A']
['221.181.185.153', 'N/A']
['121.44.131.130', 'N/A']
['81.161.63.100', 'N/A']
['198.98.51.189', 'N/A']
['193.93.62.130', 'N/A']
['185.220.102.253', 'N/A']
['41.226.25.4', 'N/A']
['162.247.74.27', 'N/A']
['221.181.185.220', 'N/A']
['49.233.111.193', 'N/A']
['81.68.225.56', 'N/A']
['222.187.232.205', 'N/A']
['221.181.185.198', 'N/A']
['171.25.193.20', 'N/A']
['221.181.185.19', 'N/A']
['139.155.13.21', 'N/A']
['139.59.129.44', 'N/A']
['106.52.30.184', 'N/A']
['192.241.208.128', 'N/A']
['119.61.19.87', 'N/A']
['221.181.185.135', 'N/A']
['194.61.25.28', 'N/A']
['106.51.152.250', 'N/A']
['45.153.160.136', 'N/A']
['165.16.24.242', 'N/A']
['106.13.97.37', 'N/A']
['132.232.4.140', 'N/A']
['101.33.117.207', 'N/A']
['95.128.43.164', 'N/A']
['45.153.160.129', 'N/A']
['185.220.102.245', 'N/A']
['185.220.102.248', 'N/A']
['104.248.79.138', 'N/A']
['119.28.92.69', 'N/A']
['5.2.77.22', 'N/A']
['95.85.43.241', 'N/A']
['101.32.114.84', 'N/A']
['119.194.242.212', 'N/A']
['68.183.82.97', 'N/A']
['71.88.42.135', 'N/A']
['23.129.64.237', 'N/A']
['91.231.213.51', 'N/A']
['128.199.186.230', 'N/A']
['77.121.92.243', 'N/A']
['185.220.102.6', 'N/A']
['103.219.112.48', 'N/A']
['81.198.116.76', 'N/A']
['23.129.64.247', 'N/A']
['111.229.128.169', 'N/A']
['14.161.28.224', 'N/A']
['222.107.156.227', 'N/A']
['189.254.242.60', 'N/A']
['128.199.52.45', 'N/A']
['171.254.11.237', 'N/A']
['157.230.190.64', 'N/A']
['167.172.98.111', 'N/A']
['91.203.220.165', 'N/A']
['81.69.192.217', 'N/A']
['213.55.77.131', 'N/A']
['140.143.231.143', 'N/A']
['61.155.209.51', 'N/A']
['185.220.101.202', 'N/A']
['94.16.110.65', 'N/A']
['119.45.235.14', 'N/A']
['192.241.201.139', 'N/A']
['117.215.129.76', 'N/A']
['27.110.250.34', 'N/A']
['118.193.39.112', 'N/A']
['119.28.140.54', 'N/A']
['162.142.125.39', 'N/A']
['68.183.140.19', 'N/A']
['185.100.87.129', 'N/A']
['168.138.230.95', 'N/A']
['159.89.38.228', 'N/A']
['104.248.203.117', 'N/A']
['190.145.192.106', 'N/A']
['183.82.42.98', 'N/A']
['162.244.77.140', 'N/A']
['168.63.137.51', 'N/A']
['157.231.113.130', 'N/A']
['167.172.98.89', 'N/A']
['207.180.251.63', 'N/A']
['49.232.196.185', 'N/A']
['118.24.58.155', 'N/A']
['159.75.38.169', 'N/A']
['128.199.92.93', 'N/A']
['192.144.167.212', 'N/A']
['206.189.45.138', 'N/A']
['122.51.76.53', 'N/A']
['182.74.215.50', 'N/A']
['64.113.32.29', 'N/A']
['223.197.186.7', 'N/A']
['49.234.68.42', 'N/A']
['45.153.160.133', 'N/A']
['193.151.128.7', 'N/A']
['198.251.80.157', 'N/A']
['144.34.192.10', 'N/A']
['162.243.102.191', 'N/A']
['117.199.125.64', 'N/A']
['117.50.73.132', 'N/A']
['121.122.40.109', 'N/A']
['109.86.226.133', 'N/A']
['23.129.64.251', 'N/A']
['192.241.207.16', 'N/A']
['45.153.160.134', 'N/A']
['185.38.175.71', 'N/A']
['107.131.14.238', 'N/A']
['185.220.102.251', 'N/A']
['167.71.141.205', 'N/A']
['63.41.9.210', 'N/A']
['171.100.51.250', 'N/A']
['129.204.189.149', 'N/A']
['165.232.69.165', 'N/A']
['178.128.88.244', 'N/A']
['84.53.192.243', 'N/A']
['185.220.101.11', 'N/A']
['185.220.101.198', 'N/A']
['185.220.100.246', 'N/A']
['209.127.17.234', 'N/A']
['128.31.0.13', 'N/A']
['66.230.230.230', 'N/A']
['185.100.87.41', 'N/A']
['185.4.135.135', 'N/A']
['185.220.100.255', 'N/A']
['185.220.101.141', 'N/A']
['185.220.100.245', 'N/A']
['185.220.101.197', 'N/A']
['185.220.100.254', 'N/A']
['185.220.100.252', 'N/A']
['209.141.45.189', 'N/A']
['185.220.100.250', 'N/A']
['199.195.250.77', 'N/A']
['23.129.64.201', 'N/A']
['23.129.64.208', 'N/A']
['116.68.157.112', 'N/A']
['106.54.236.226', 'N/A']
['128.199.249.246', 'N/A']
['207.248.245.235', 'N/A']
['142.93.73.13', 'N/A']
['116.196.101.168', 'N/A']
['129.211.107.163', 'N/A']
['118.25.144.49', 'N/A']
['157.245.91.72', 'N/A']
['159.89.82.134', 'N/A']
['212.95.137.19', 'N/A']
['51.15.221.90', 'N/A']
['192.241.213.160', 'N/A']
['162.247.74.206', 'N/A']
['138.0.143.55', 'N/A']
['128.199.201.42', 'N/A']
['65.49.20.66', 'N/A']
['188.166.251.87', 'N/A']
['61.38.128.22', 'N/A']
['128.199.171.206', 'N/A']
['81.70.170.3', 'N/A']
['93.115.1.195', 'N/A']
['117.102.82.42', 'N/A']
['130.162.76.162', 'N/A']
['81.69.36.80', 'N/A']
['142.93.235.47', 'N/A']
['49.232.172.85', 'N/A']
['115.238.97.2', 'N/A']
['209.141.41.103', 'N/A']
['118.123.244.100', 'N/A']
['138.197.197.147', 'N/A']
['196.216.73.90', 'N/A']
['46.101.245.176', 'N/A']
['104.244.74.121', 'N/A']
['185.153.196.230', 'N/A']
['23.129.64.240', 'N/A']
['51.15.170.132', 'N/A']
['138.197.66.68', 'N/A']
['23.97.180.45', 'N/A']
['113.57.109.73', 'N/A']
['47.100.107.125', 'N/A']
['208.180.145.93', 'N/A']
['121.4.26.249', 'N/A']
